source,source_record_id,ein,organization_name,dba_name,street,city,state,zip,county,latitude,longitude,ntee_code,ntee_definition,status_code,status_definition,last_seen_vintage,tax_period,revenue_amount,asset_amount,income_amount,size,size_basis,active_flag,source_url
IRS/NCCS BMF,27-0903483,27-0903483,Western Bureau County Food Pantry,,123 S MAIN ST,SHEFFIELD,IL,61361-9752,Bureau County,41.3580286525743,-89.7374002184228,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,73548,129323,73548,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-1293896,27-1293896,Manna Outreach Ministries,,607 S WESTERN AVE,PEORIA,IL,61605-1655,Peoria County,40.681917,-89.6230589540941,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-1474413,27-1474413,Chicago Manna Foundation,,,CHICAGO,IL,60623,,,,K31,"Food Banks, Pantries",,,2013-02,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2018997,27-2018997,Beyond Hunger,,848 LK ST,OAK PARK,IL,60301-1314,Cook County,41.8886944641061,-87.7969175815973,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,4714431,3542909,4845585,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2394411,27-2394411,Kidsnic 2010,,PO BOX 781,PONTIAC,IL,61764-0781,Livingston County,40.882104,-88.632801,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2509197,27-2509197,Sherrard Food Pantry,,406 3RD ST,SHERRARD,IL,61281-7754,Mercer County,41.3189087399513,-90.5061395600054,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-2865203,27-2865203,Feed The Crave Ministries,Feed The Crave Ministries,2511 S VETERANS DR,EFFINGHAM,IL,62401-4141,Effingham County,39.095892,-88.5379564852839,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,67128,25421,83386,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3079277,27-3079277,Uncle Shacks Food Blessings Inc,,1347 W WASHINGTON BLVD STE 1A,CHICAGO,IL,60607-1939,Cook County,41.8828870707486,-87.6615475233135,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3480499,27-3480499,Helping Hands Pantry,,7620 ELM AVE,MACHESNEY,IL,61115-2908,Winnebago County,42.334948917566,-89.0463027969294,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,110805,49774,110805,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3503107,27-3503107,Harvard Community Food Pantry,,PO BOX 578,HARVARD,IL,60033-0578,McHenry County,42.423966,-88.610508,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,275101,248959,275101,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-3910918,27-3910918,Community Keepers,,1206 N FORREST AVE,ARLINGTON HTS,IL,60004-5010,Cook County,42.0972481357262,-87.959795094812,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-4117490,27-4117490,Assyrian Church Of The East Food Pantry,,,NORTHBROOK,IL,60062,,,,K31,"Food Banks, Pantries",,,2013-07,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-4171586,27-4171586,Fresh Oil,,,CHICAGO,IL,60617,,,,K31,"Food Banks, Pantries",,,2016-03,201206,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-4409282,27-4409282,Food For Greater Elgin,,1553 COMMERCE DR,ELGIN,IL,60123-9304,Kane County,42.072345,-88.2953745023086,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,9733370,3628297,9757519,Medium,IRS revenue $5M–<$25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,27-4505400,27-4505400,Greenfeast,Greenfeast,,CHICAGO,IL,60659,,,,K31,"Food Banks, Pantries",,,2014-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0004058,30-0004058,H O P E Mission,,,CHICAGO,IL,60624,,,,K31,"Food Banks, Pantries",,,2019-08,201606,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0094306,30-0094306,Lift Him Up Ministries,,,JOLIET,IL,60434,,,,K31,"Food Banks, Pantries",,,2016-04,201212,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0422310,30-0422310,United States Catholic Conference,,1725 S GRAND AVE E,SPRINGFIELD,IL,62703-2708,Sangamon County,39.7873451147368,-89.6318334661052,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,364296,356868,364296,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-0877070,30-0877070,Lebanon Matthew 25 40 Ministries,,108 E,LEBANON,IL,62254-0000,St. Clair County,38.6017850000001,-89.8089899999999,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,30-1318390,30-1318390,Dallas City Food Pantry,,2880 N STATE HWY 9,DALLAS CITY,IL,62330-2034,Hancock County,40.621014,-91.1567969877367,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,31-1501045,31-1501045,Hope At The Corner Stone Center,,,CHICAGO,IL,60652,,,,K31,"Food Banks, Pantries",,,2010-11,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-1437560,33-1437560,Matthew Twenty Five Forty Inc,,2807 BROADWAY ST STE B,PEKIN,IL,61554-2766,Tazewell County,40.5679791127298,-89.5978637026084,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-1575691,33-1575691,Obbas Way Charities,,9631 S CICERO AVE STE 1274,OAK LAWN,IL,60453-3137,Cook County,41.7175387960067,-87.740682558025,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-1834613,33-1834613,Forest Park Community Fridge,,926 MARENGO AVE,FOREST PARK,IL,60130-2346,Cook County,41.8694484446304,-87.8067327116107,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-2045848,33-2045848,Oasis Community Outreach,,1306 E EMPIRE ST,BLOOMINGTON,IL,61701-3456,McLean County,40.4886942478791,-88.9675655661897,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-2232003,33-2232003,Yes Together We Can,,208 E WASHINGTON ST APT B,JOLIET,IL,60433-1043,Will County,41.5240749953931,-88.0759045865622,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-2316711,33-2316711,Multicultural Food Pantry Of Peoria,,2723 W MARQUETTE ST,PEORIA,IL,61605-1421,Peoria County,40.676894422442,-89.6365905925616,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-2801208,33-2801208,Gmv Hope Community Development,,2335 E 100TH ST,CHICAGO,IL,60617-5238,Cook County,41.7134213813333,-87.5668612569422,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-2979182,33-2979182,Tremont Food Pantry Inc,,PO BOX 394,TREMONT,IL,61568-0394,Tazewell County,40.513968,-89.4830895,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-3003258,33-3003258,Gotogro,,870 PRIVATE RD,WINNETKA,IL,60093-1524,Cook County,42.1171775744995,-87.7366362681055,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-3732188,33-3732188,Bubble Baby Foundation,,1902 BECK DR APT 8,URBANA,IL,61802-6811,Champaign County,40.1315744912574,-88.1929905782505,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-4584861,33-4584861,Faith Market Food Pantry,,102 S COAL ST,COLCHESTER,IL,62326-1237,McDonough County,40.4245330413469,-90.7925078334871,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-4867989,33-4867989,Beitunia City Outreach,,16655 OAK PARK AVE,TINLEY PARK,IL,60477-2313,Cook County,41.588667,-87.7848139778986,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-4872476,33-4872476,Heart Of The Hill,,218 N SPG ST,MOUNT PULASKI,IL,62548-1141,Logan County,40.01139,-89.2878985293148,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,33-4933902,33-4933902,Soul & Smoke Foundation,,1601 PAYNE ST,EVANSTON,IL,60201-3080,Cook County,42.0570008262738,-87.6946241472387,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,35-2351809,35-2351809,Hanover Food Pantry,,500 FILLMORE ST,HANOVER,IL,61041-8706,Jo Daviess County,42.2554208034512,-90.2779232581222,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,35-2435324,35-2435324,Fire Branch Organization,,1138 WINDBROOK DR,BUFFALO GROVE,IL,60089-2314,Lake County,42.17301,-87.9462315,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202212,8750,3527,8750,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,35-2827462,35-2827462,True Hope Ministries,,1732 N NATCHEZ AVE,CHICAGO,IL,60707-4024,Cook County,41.9119652200935,-87.7883679665876,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,35-2828509,35-2828509,Marthas Kitchen,,500 N RANDALL RD UNIT 172,BATAVIA,IL,60510-3707,Kane County,41.8594836741589,-88.34042614949,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-2971864,36-2971864,Greater Chicago Food Depository,,4100 W ANN LURIE PL,CHICAGO,IL,60632-2692,Cook County,41.8164431614638,-87.7263175817242,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,241580413,216023481,338740598,Large,IRS revenue >= $25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3191161,36-3191161,Galva Food Pantry,,,GALVA,IL,61434,,,,K31,"Food Banks, Pantries",,,1989-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3192282,36-3192282,Churches Of Mercer County Food Pantry,,PO BOX 63,ALEDO,IL,61231-0063,Mercer County,41.202963,-90.7439715,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,80752,292729,80752,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3203648,36-3203648,Northern Illinois Food Bank,,273 DEARBORN CT,GENEVA,IL,60134-3587,Kane County,41.8878380257664,-88.2688358912236,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,180417949,73847424,212935920,Large,IRS revenue >= $25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3203937,36-3203937,Illinois Valley Food Pantry,,4133 PROGRESS BLVD,PERU,IL,61354-1125,LaSalle County,41.3574211151826,-89.1220695542158,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202508,378887,877654,378887,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3206531,36-3206531,Aurora Area Interfaith Food Pantry,,1110 JERICHO RD,AURORA,IL,60506-5822,Kane County,41.744931541174,-88.342524,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202507,7445770,2237824,7472327,Medium,IRS revenue $5M–<$25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3223994,36-3223994,Park Pantry,,,LOVES PARK,IL,61111,,,,K31,"Food Banks, Pantries",,,2005-11,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3238380,36-3238380,Project Pride,,PO BOX 52,ANNAWAN,IL,61234-0052,Henry County,41.405688,-89.9146305,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3241782,36-3241782,Kankakee Community Food Pantry,,,KANKAKEE,IL,60901,,,,K31,"Food Banks, Pantries",,,1989-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3242915,36-3242915,Crystal Lake Food Pantry,,PO BOX 1071,CRYSTAL LAKE,IL,60039-1071,McHenry County,42.23061,-88.309692,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,3466226,2336892,3466226,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3245981,36-3245981,H E L P Emergency Food Pantries,,,JOLIET,IL,60432,,,,K31,"Food Banks, Pantries",,,1996-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3247043,36-3247043,Lincoln Belmont Pantry,,,CHICAGO,IL,60657,,,,K31,"Food Banks, Pantries",,,2003-11,,27577,0,0,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3247132,36-3247132,Operation Blessing Of Southwest Chicagoland,,4901 W 128TH PL,ALSIP,IL,60803-3011,Cook County,41.6591121079406,-87.7416818509723,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202406,1992011,536120,1992011,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3249079,36-3249079,Village Pantry Coalition,,3450 W 97TH ST,EVERGREEN,IL,60805-3015,Cook County,41.717047700848,-87.7083335517629,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202409,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3252908,36-3252908,Streatorland Community Food Pantry,,PO BOX 952,STREATOR,IL,61364-0952,LaSalle County,41.124474,-88.833942,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202502,86799,134958,86799,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3253374,36-3253374,Shannon Lanark Food Pantry,,24014 PEACE AND QUIET RD,SHANNON,IL,61078-9250,Carroll County,42.1834649918353,-89.8431038170985,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3266881,36-3266881,Polo Lifeline Food And Self Help Project,,113 N GRN AVE STE A,POLO,IL,61064-1525,Ogle County,41.98630014165,-89.5762382956986,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,193224,184618,193224,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3309103,36-3309103,Save Our Soul Unlimited,,,CHICAGO,IL,60628,,,,K31,"Food Banks, Pantries",,,2008-10,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3355950,36-3355950,Hunger Connection,,,ROCKFORD,IL,61102,,,,K31,"Food Banks, Pantries",,,2006-05,,2350119,1162222,5663138,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3393200,36-3393200,Roanoke-Benson Hope Center,,311 N MAIN ST,ROANOKE,IL,61561-7515,Woodford County,40.7962892686268,-89.1966054823991,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,109266,266058,109266,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3406243,36-3406243,Elgin Cooperative Ministry,,PO BOX 74,ELGIN,IL,60121-0074,Kane County,42.033159,-88.313571,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3456064,36-3456064,Sherrard Food Pantry,,,SHERRARD,IL,61281,,,,K31,"Food Banks, Pantries",,,2013-03,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3514694,36-3514694,Kendall County Food Pantry,,,YORKVILLE,IL,60560,,,,K31,"Food Banks, Pantries",,,2016-08,201412,404801,766210,481332,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3650828,36-3650828,Elijahs Pantry,C-O Ramona J Luoma St Lukes,,CHICAGO,IL,60647,,,,K31,"Food Banks, Pantries",,,2020-04,201612,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3651063,36-3651063,Americas Food Bank,,1595 E OAKTON ST,DES PLAINES,IL,60018-2120,Cook County,42.0242185023373,-87.8845438760748,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,53231,50616,53231,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3673599,36-3673599,Feeding America,,161 N CLARK ST STE 700,CHICAGO,IL,60601-3389,Cook County,41.8848423841249,-87.6309005817129,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,5001395215,572495646,5109104956,Large,IRS revenue >= $25M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3713962,36-3713962,Golden Years,,,BENSENVILLE,IL,60106,,,,K31,"Food Banks, Pantries",,,2022-01,202008,169256,59975,12844,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3823404,36-3823404,Carry-Over Food Pantry,C-O Annie Reynolds,,RIVERDALE,IL,60827,,,,K31,"Food Banks, Pantries",,,2011-06,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3829942,36-3829942,Harriet Tubman Place,C-O Donald Wheat,,CHICAGO,IL,60649,,,,K31,"Food Banks, Pantries",,,2010-11,199712,0,24884,83446,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3913361,36-3913361,German Valley Food Pantry,,65 STATE ST,GERMAN VALLEY,IL,61039-9005,Stephenson County,42.214183216614,-89.4748212772,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202506,,18951,11110,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-3929682,36-3929682,Wenona Food Pantry,,123 N LASALLE ST,WENONA,IL,61377-9748,LaSalle County,41.0541646588955,-89.0463447471293,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4008090,36-4008090,Illinois Food Pantry,,,CHICAGO,IL,60618,,,,K31,"Food Banks, Pantries",,,2008-10,,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4065477,36-4065477,Paxton Area Ministerial Association,,510 SUNRISE DR,LODA,IL,60948-9742,Iroquois County,40.5273971951065,-88.089051177246,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,,,,,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4074647,36-4074647,Burlington-Hampshire Area Food Pantry,,17N030 WIDMAYER RD,HAMPSHIRE,IL,60140-8251,Kane County,42.1104710954758,-88.5104920065782,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,43371,190704,43371,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4161338,36-4161338,Liberty Food Pantry,,,LIBERTY,IL,62347,,,,K31,"Food Banks, Pantries",,,2016-08,201302,,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4201080,36-4201080,Clifton Community Food Pantry,,PO BOX 146,CLIFTON,IL,60927-0146,Iroquois County,40.937877,-87.937722,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,79940,135227,79940,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4289076,36-4289076,Kewanee Food Pantry,,PO BOX 492,KEWANEE,IL,61443-0492,Henry County,41.244849,-89.9274015,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202312,63348,238679,63348,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4289533,36-4289533,Community Food Basket,,PO BOX 2386,OTTAWA,IL,61350-6986,LaSalle County,41.351481,-88.842699,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,1652985,1106766,1663529,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4314558,36-4314558,Ccs Food Bank,,,MIDLOTHIAN,IL,60445,,,,K31,"Food Banks, Pantries",,,2006-01,,0,0,0,Unknown,No positive IRS revenue reported,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4442329,36-4442329,Mihut Romanian Charitable Mission,Charities,2100 TELEGRAPH RD,BANNOCKBURN,IL,60015-1532,Lake County,42.189867,-87.864165,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202512,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4508651,36-4508651,Hand In Hand Community Services,,,ROCHELLE,IL,61068,,,,K31,"Food Banks, Pantries",,,2016-04,201412,50751,43631,50751,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4571403,36-4571403,Cass County Food Pantry,,210 S MAIN ST,VIRGINIA,IL,62691-1125,Cass County,39.9495409530845,-90.210659674563,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202510,175303,70852,179622,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-4689446,36-4689446,Fairview Heights Area Food Pantry,,PO BOX 4657,FAIRVIEW HTS,IL,62208-4657,St. Clair County,38.592387,-89.994951,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,279832,85665,279832,Small,IRS revenue < $5M,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,36-6157305,36-6157305,Faith Tabernacle Food Pantry,,,ZION,IL,60099,,,,K31,"Food Banks, Pantries",,,2011-10,201006,90181,51635,90181,Small,IRS revenue < $5M,Unknown/Inactive,https://urbaninstitute.github.io/nccs/datasets/bmf/
IRS/NCCS BMF,37-0684493,37-0684493,Arcola Food Pantry,,206 EGYPTIAN TRL,ARCOLA,IL,61910-0000,Douglas County,39.6812538609955,-88.2835422905685,K31,"Food Banks, Pantries",1,Unconditional Exemption,2026-06,202412,0,0,0,Unknown,No positive IRS revenue reported,Yes,https://urbaninstitute.github.io/nccs/datasets/bmf/
