ID,Food Item,Category,Storage Type,Dietary Notes
629,Blueberries in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
630,Blueberries in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
631,Blueberries light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
632,Blueberries no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
633,Blueberries individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
634,Strawberries in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
635,Strawberries in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
636,Strawberries light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
637,Strawberries no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
638,Strawberries individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
639,Papaya in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
640,Papaya in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
641,Papaya light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
642,Papaya no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
643,Papaya individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
644,Guava in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
645,Guava in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
646,Guava light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
647,Guava no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
648,Guava individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
649,Lychees in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
650,Lychees in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
651,Lychees light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
652,Lychees no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
653,Lychees individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
654,Figs in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
655,Figs in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
656,Figs light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
657,Figs no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
658,Figs individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
659,Mixed Tropical Fruit in juice,Canned & Packaged Fruit,Shelf-stable,Vegetarian
660,Mixed Tropical Fruit in water,Canned & Packaged Fruit,Shelf-stable,Vegetarian
661,Mixed Tropical Fruit light syrup,Canned & Packaged Fruit,Shelf-stable,Vegetarian
662,Mixed Tropical Fruit no-sugar-added,Canned & Packaged Fruit,Shelf-stable,Vegetarian
663,Mixed Tropical Fruit individual cups,Canned & Packaged Fruit,Shelf-stable,Vegetarian
664,Dry black beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
665,Canned Regular black beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
666,Canned Low-Sodium black beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
667,Canned No-Salt-Added black beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
668,Ready-To-Eat Pouch black beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
669,Dry pinto beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
670,Canned Regular pinto beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
671,Canned Low-Sodium pinto beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
672,Canned No-Salt-Added pinto beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
673,Ready-To-Eat Pouch pinto beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
674,Dry kidney beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
675,Canned Regular kidney beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
676,Canned Low-Sodium kidney beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
677,Canned No-Salt-Added kidney beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
678,Ready-To-Eat Pouch kidney beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
679,Dry navy beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
680,Canned Regular navy beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
681,Canned Low-Sodium navy beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
682,Canned No-Salt-Added navy beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
683,Ready-To-Eat Pouch navy beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
684,Dry great northern beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
685,Canned Regular great northern beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
686,Canned Low-Sodium great northern beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
687,Canned No-Salt-Added great northern beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
688,Ready-To-Eat Pouch great northern beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
689,Dry garbanzo beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
690,Canned Regular garbanzo beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
691,Canned Low-Sodium garbanzo beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
692,Canned No-Salt-Added garbanzo beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
693,Ready-To-Eat Pouch garbanzo beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
694,Dry cannellini beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
695,Canned Regular cannellini beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
696,Canned Low-Sodium cannellini beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
697,Canned No-Salt-Added cannellini beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
698,Ready-To-Eat Pouch cannellini beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
699,Dry lima beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
700,Canned Regular lima beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
701,Canned Low-Sodium lima beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
702,Canned No-Salt-Added lima beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
703,Ready-To-Eat Pouch lima beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
704,Dry black-eyed peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
705,Canned Regular black-eyed peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
706,Canned Low-Sodium black-eyed peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
707,Canned No-Salt-Added black-eyed peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
708,Ready-To-Eat Pouch black-eyed peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
709,Dry adzuki beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
710,Canned Regular adzuki beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
711,Canned Low-Sodium adzuki beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
712,Canned No-Salt-Added adzuki beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
713,Ready-To-Eat Pouch adzuki beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
714,Dry mung beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
715,Canned Regular mung beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
716,Canned Low-Sodium mung beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
717,Canned No-Salt-Added mung beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
718,Ready-To-Eat Pouch mung beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
719,Dry fava beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
720,Canned Regular fava beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
721,Canned Low-Sodium fava beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
722,Canned No-Salt-Added fava beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
723,Ready-To-Eat Pouch fava beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
724,Dry cranberry beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
725,Canned Regular cranberry beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
726,Canned Low-Sodium cranberry beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
727,Canned No-Salt-Added cranberry beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
728,Ready-To-Eat Pouch cranberry beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
729,Dry pink beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
730,Canned Regular pink beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
731,Canned Low-Sodium pink beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
732,Canned No-Salt-Added pink beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
733,Ready-To-Eat Pouch pink beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
734,Dry red beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
735,Canned Regular red beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
736,Canned Low-Sodium red beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
737,Canned No-Salt-Added red beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
738,Ready-To-Eat Pouch red beans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
739,Dry yellow split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
740,Canned Regular yellow split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
741,Canned Low-Sodium yellow split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
742,Canned No-Salt-Added yellow split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
743,Ready-To-Eat Pouch yellow split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
744,Dry green split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
745,Canned Regular green split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
746,Canned Low-Sodium green split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
747,Canned No-Salt-Added green split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
748,Ready-To-Eat Pouch green split peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
749,Dry brown lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
750,Canned Regular brown lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
751,Canned Low-Sodium brown lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
752,Canned No-Salt-Added brown lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
753,Ready-To-Eat Pouch brown lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
754,Dry green lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
755,Canned Regular green lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
756,Canned Low-Sodium green lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
757,Canned No-Salt-Added green lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
758,Ready-To-Eat Pouch green lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
759,Dry red lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
760,Canned Regular red lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
761,Canned Low-Sodium red lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
762,Canned No-Salt-Added red lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
763,Ready-To-Eat Pouch red lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
764,Dry black lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
765,Canned Regular black lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
766,Canned Low-Sodium black lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
767,Canned No-Salt-Added black lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
768,Ready-To-Eat Pouch black lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
769,Dry French lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
770,Canned Regular French lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
771,Canned Low-Sodium French lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
772,Canned No-Salt-Added French lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
773,Ready-To-Eat Pouch French lentils,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
774,Dry soybeans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
775,Canned Regular soybeans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
776,Canned Low-Sodium soybeans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
777,Canned No-Salt-Added soybeans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
778,Ready-To-Eat Pouch soybeans,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
779,Dry edamame,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
780,Canned Regular edamame,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
781,Canned Low-Sodium edamame,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
782,Canned No-Salt-Added edamame,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
783,Ready-To-Eat Pouch edamame,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
784,Dry pigeon peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
785,Canned Regular pigeon peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
786,Canned Low-Sodium pigeon peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
787,Canned No-Salt-Added pigeon peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
788,Ready-To-Eat Pouch pigeon peas,Beans & Legumes,Shelf-stable,Vegetarian; high-protein
789,"White Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
790,"White Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
791,"White Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
792,"White Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
793,"White Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
794,"Brown Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
795,"Brown Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
796,"Brown Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
797,"Brown Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
798,"Brown Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
799,"Jasmine Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
800,"Jasmine Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
801,"Jasmine Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
802,"Jasmine Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
803,"Jasmine Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
804,"Basmati Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
805,"Basmati Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
806,"Basmati Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
807,"Basmati Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
808,"Basmati Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
809,"Wild Rice Blend, standard bag",Grains & Rice,Shelf-stable,Vegetarian
810,"Wild Rice Blend, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
811,"Wild Rice Blend, instant",Grains & Rice,Shelf-stable,Vegetarian
812,"Wild Rice Blend, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
813,"Wild Rice Blend, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
814,"Parboiled Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
815,"Parboiled Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
816,"Parboiled Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
817,"Parboiled Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
818,"Parboiled Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
819,"Arborio Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
820,"Arborio Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
821,"Arborio Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
822,"Arborio Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
823,"Arborio Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
824,"Sushi Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
825,"Sushi Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
826,"Sushi Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
827,"Sushi Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
828,"Sushi Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
829,"Black Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
830,"Black Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
831,"Black Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
832,"Black Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
833,"Black Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
834,"Red Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
835,"Red Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
836,"Red Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
837,"Red Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
838,"Red Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
839,"Quinoa, standard bag",Grains & Rice,Shelf-stable,Vegetarian
840,"Quinoa, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
841,"Quinoa, instant",Grains & Rice,Shelf-stable,Vegetarian
842,"Quinoa, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
843,"Quinoa, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
844,"Barley, standard bag",Grains & Rice,Shelf-stable,Vegetarian
845,"Barley, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
846,"Barley, instant",Grains & Rice,Shelf-stable,Vegetarian
847,"Barley, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
848,"Barley, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
849,"Pearl Barley, standard bag",Grains & Rice,Shelf-stable,Vegetarian
850,"Pearl Barley, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
851,"Pearl Barley, instant",Grains & Rice,Shelf-stable,Vegetarian
852,"Pearl Barley, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
853,"Pearl Barley, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
854,"Bulgur, standard bag",Grains & Rice,Shelf-stable,Vegetarian
855,"Bulgur, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
856,"Bulgur, instant",Grains & Rice,Shelf-stable,Vegetarian
857,"Bulgur, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
858,"Bulgur, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
859,"Couscous, standard bag",Grains & Rice,Shelf-stable,Vegetarian
860,"Couscous, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
861,"Couscous, instant",Grains & Rice,Shelf-stable,Vegetarian
862,"Couscous, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
863,"Couscous, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
864,"Whole-Wheat Couscous, standard bag",Grains & Rice,Shelf-stable,Vegetarian
865,"Whole-Wheat Couscous, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
866,"Whole-Wheat Couscous, instant",Grains & Rice,Shelf-stable,Vegetarian
867,"Whole-Wheat Couscous, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
868,"Whole-Wheat Couscous, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
869,"Farro, standard bag",Grains & Rice,Shelf-stable,Vegetarian
870,"Farro, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
871,"Farro, instant",Grains & Rice,Shelf-stable,Vegetarian
872,"Farro, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
873,"Farro, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
874,"Millet, standard bag",Grains & Rice,Shelf-stable,Vegetarian
875,"Millet, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
876,"Millet, instant",Grains & Rice,Shelf-stable,Vegetarian
877,"Millet, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
878,"Millet, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
879,"Buckwheat Groats, standard bag",Grains & Rice,Shelf-stable,Vegetarian
880,"Buckwheat Groats, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
881,"Buckwheat Groats, instant",Grains & Rice,Shelf-stable,Vegetarian
882,"Buckwheat Groats, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
883,"Buckwheat Groats, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
884,"Amaranth, standard bag",Grains & Rice,Shelf-stable,Vegetarian
885,"Amaranth, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
886,"Amaranth, instant",Grains & Rice,Shelf-stable,Vegetarian
887,"Amaranth, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
888,"Amaranth, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
889,"Sorghum, standard bag",Grains & Rice,Shelf-stable,Vegetarian
890,"Sorghum, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
891,"Sorghum, instant",Grains & Rice,Shelf-stable,Vegetarian
892,"Sorghum, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
893,"Sorghum, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
894,"Cornmeal, standard bag",Grains & Rice,Shelf-stable,Vegetarian
895,"Cornmeal, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
896,"Cornmeal, instant",Grains & Rice,Shelf-stable,Vegetarian
897,"Cornmeal, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
898,"Cornmeal, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
899,"Polenta, standard bag",Grains & Rice,Shelf-stable,Vegetarian
900,"Polenta, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
901,"Polenta, instant",Grains & Rice,Shelf-stable,Vegetarian
902,"Polenta, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
903,"Polenta, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
904,"Rolled Oats, standard bag",Grains & Rice,Shelf-stable,Vegetarian
905,"Rolled Oats, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
906,"Rolled Oats, instant",Grains & Rice,Shelf-stable,Vegetarian
907,"Rolled Oats, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
908,"Rolled Oats, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
909,"Steel-Cut Oats, standard bag",Grains & Rice,Shelf-stable,Vegetarian
910,"Steel-Cut Oats, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
911,"Steel-Cut Oats, instant",Grains & Rice,Shelf-stable,Vegetarian
912,"Steel-Cut Oats, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
913,"Steel-Cut Oats, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
914,"Quick Oats, standard bag",Grains & Rice,Shelf-stable,Vegetarian
915,"Quick Oats, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
916,"Quick Oats, instant",Grains & Rice,Shelf-stable,Vegetarian
917,"Quick Oats, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
918,"Quick Oats, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
919,"Grits, standard bag",Grains & Rice,Shelf-stable,Vegetarian
920,"Grits, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
921,"Grits, instant",Grains & Rice,Shelf-stable,Vegetarian
922,"Grits, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
923,"Grits, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
924,"Cream Of Wheat, standard bag",Grains & Rice,Shelf-stable,Vegetarian
925,"Cream Of Wheat, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
926,"Cream Of Wheat, instant",Grains & Rice,Shelf-stable,Vegetarian
927,"Cream Of Wheat, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
928,"Cream Of Wheat, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
929,"Cream Of Rice, standard bag",Grains & Rice,Shelf-stable,Vegetarian
930,"Cream Of Rice, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
931,"Cream Of Rice, instant",Grains & Rice,Shelf-stable,Vegetarian
932,"Cream Of Rice, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
933,"Cream Of Rice, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
934,"Wheat Berries, standard bag",Grains & Rice,Shelf-stable,Vegetarian
935,"Wheat Berries, family-size bag",Grains & Rice,Shelf-stable,Vegetarian
936,"Wheat Berries, instant",Grains & Rice,Shelf-stable,Vegetarian
937,"Wheat Berries, quick-cooking",Grains & Rice,Shelf-stable,Vegetarian
938,"Wheat Berries, single-serve packets",Grains & Rice,Shelf-stable,Vegetarian
939,Regular spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
940,Whole-Wheat spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
941,Gluten-Free spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
942,High-Protein spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
943,Organic spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
944,Regular thin spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
945,Whole-Wheat thin spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
946,Gluten-Free thin spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
947,High-Protein thin spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
948,Organic thin spaghetti,Pasta & Noodles,Shelf-stable,Vegetarian
949,Regular angel hair,Pasta & Noodles,Shelf-stable,Vegetarian
950,Whole-Wheat angel hair,Pasta & Noodles,Shelf-stable,Vegetarian
951,Gluten-Free angel hair,Pasta & Noodles,Shelf-stable,Vegetarian
952,High-Protein angel hair,Pasta & Noodles,Shelf-stable,Vegetarian
953,Organic angel hair,Pasta & Noodles,Shelf-stable,Vegetarian
954,Regular linguine,Pasta & Noodles,Shelf-stable,Vegetarian
955,Whole-Wheat linguine,Pasta & Noodles,Shelf-stable,Vegetarian
956,Gluten-Free linguine,Pasta & Noodles,Shelf-stable,Vegetarian
957,High-Protein linguine,Pasta & Noodles,Shelf-stable,Vegetarian
958,Organic linguine,Pasta & Noodles,Shelf-stable,Vegetarian
959,Regular fettuccine,Pasta & Noodles,Shelf-stable,Vegetarian
960,Whole-Wheat fettuccine,Pasta & Noodles,Shelf-stable,Vegetarian
961,Gluten-Free fettuccine,Pasta & Noodles,Shelf-stable,Vegetarian
962,High-Protein fettuccine,Pasta & Noodles,Shelf-stable,Vegetarian
963,Organic fettuccine,Pasta & Noodles,Shelf-stable,Vegetarian
964,Regular penne,Pasta & Noodles,Shelf-stable,Vegetarian
965,Whole-Wheat penne,Pasta & Noodles,Shelf-stable,Vegetarian
966,Gluten-Free penne,Pasta & Noodles,Shelf-stable,Vegetarian
